pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad
MOA-2007-BLG-400L b,13.5,540.3082919,34.0,5.9,,
16 Cyg B b,13.5,565.7374,228.76,1.66,5750.0,1.13
OGLE-2019-BLG-1492L b,6.79,37.1,,2.7,,
Kepler-522 b,6.91,38.2,761.0,0.25029,6392.0,1.98
Kepler-1467 b,3.3,10.9,411.0,0.2388,5332.0,0.82
Kepler-758 c,1.69,3.5,1372.0,0.05768,6228.0,1.42
Kepler-19 b,2.209,6.1,851.0,0.0846,5541.0,0.859
Kepler-1102 b,2.66,7.56,546.0,0.2731,5724.0,0.94
HD 72659 c,12.1,6165.8710958,71.91,21.5,5929.0,1.36
HD 174205 b,13.0,1334.8793094,821.72,1.7,4308.0,26.6
Kepler-617 b,1.32,2.3,750.0,0.0219,3712.0,0.48
Kepler-371 c,1.78,3.82,443.0,0.313,5666.0,0.992
Kepler-265 e,2.59,7.22,476.0,0.319,5835.0,1.103
KMT-2016-BLG-0212L b,12.2,5700.0,,2.2,,
Kepler-1610 c,2.09,5.02,433.0,0.2323,5295.0,0.8
Qatar-2 b,14.056,792.635,1344.0,0.02153,4645.0,0.776
HD 222076 b,13.5,495.8148,346.88,1.83,4806.0,4.1
HD 98736 b,13.3,740.5439,179.53,1.864,5271.0,0.93
K2-338 b,1.03,1.08,783.0,,4558.0,0.63
HD 40979 b,12.9,1484.2661,354.69,0.85,6165.0,1.21
TOI-286 b,1.42,4.53,979.0,0.0503,5152.0,0.78
Kepler-750 c,1.62,3.26,1537.0,0.05009,6160.0,1.23
Kepler-282 b,1.01,1.01,817.0,0.082,5602.0,0.904
Kepler-278 c,3.268,34.9,492.0,0.287,4965.0,2.861
GJ 180 d,2.66,7.56,187.94,0.309,3371.0,0.413049
HD 1461 c,2.23,5.59,892.87,0.1117,5765.0,1.152288
Kepler-1248 b,1.18,1.76,1035.0,0.0806,6149.0,1.21
K2-275 b,2.34,6.08,1166.0,0.0277,4841.0,0.69
HD 74156 b,13.5,532.36258173,679.63,0.28,6068.0,1.510576
Kepler-267 c,2.13,5.18,484.0,0.06,4258.0,0.555
K2-86 b,1.96,4.5,830.49,0.077,5482.0,0.76
V830 Tau b,14.0,222.481,1213.95,0.057,4250.0,2.0
Kepler-377 c,2.06,4.9,677.0,0.182,5949.0,1.224
K2-195 c,2.57581891,7.16,,,5712.0,0.906367
Proxima Cen d,0.692,0.26,282.0,0.02881,2900.0,0.141
HD 15906 b,2.24,5.65,668.0,0.09,4757.0,0.762
HD 196050 b,12.9,1493.7935129,207.52,2.65,5879.0,1.42
K2-201 c,3.28568401,10.8,,,5507.0,0.878161
TOI-1279 b,2.66146528,10.6,759.0,0.085,5457.0,0.8426
K2-326 b,2.28,5.82,1114.0,0.0198,3924.0,0.688
Kepler-606 b,3.31,11.0,683.0,0.17,6161.0,1.22
Kepler-1575 b,1.31,2.27,1312.0,0.0366,5667.0,0.92
Kepler-729 b,3.58,12.5,1273.0,0.0432,5633.0,0.91
Kepler-1995 b,4.28,16.9,375.0,0.3259,5029.0,0.93
Kepler-1434 b,1.11,1.41,1320.0,0.0917,6291.0,2.04
Kepler-82 c,5.34,13.9,450.0,0.2626,5401.0,0.898
Kepler-1538 b,2.82,8.35,346.0,0.6095,5837.0,1.03
K2-187 b,1.2,1.87,1815.0,0.0164,5438.0,0.83
Kepler-464 b,3.3,10.9,1163.0,0.07931,5933.0,1.59
61 Vir b,2.11,5.1,1177.85,0.050201,5577.0,0.963
Kepler-1782 b,2.22927435,5.6,773.0,0.05825,4931.0,0.734
Kepler-1580 b,2.11,5.1,733.0,0.33571,6228.0,2.15
Kepler-198 d,1.53,2.96,1562.0,0.02342,5636.0,0.93
Kepler-1737 b,5.395,25.1,383.0,0.297,5043.0,0.881
Kepler-134 c,1.26,2.13,892.0,0.092,5983.0,1.176
TOI-1860 b,1.31,2.27,1885.0,0.0204,5752.0,0.94
Kepler-132 c,1.28,2.18,1069.0,0.068,6003.0,1.178
GJ 3942 b,2.57,7.14,590.0,0.0608,3867.0,0.61
Kepler-26 b,2.78,5.12,431.0,0.08551,3914.0,0.512
Kepler-1589 b,1.09,1.32,2102.0,0.0205,6166.0,1.25
K2-343 c,2.02,4.74,465.0,,3804.0,0.46
GJ 581 c,2.5,6.81,346.13,0.0718,3500.0,0.302
HD 196885 A b,13.2,819.97,224.21,2.37,6254.0,1.31
TOI-5592 b,17.14974047,285.72773789,1789.0,0.03935,6237.0,1.393
Kepler-188 c,3.19,10.3,1025.0,0.066,6021.0,1.141
HIP 65407 c,13.9,249.17872,457.04,0.316,5460.0,0.952252
KOI-1831 d,1.13,2.23,475.0,0.19924,5233.0,0.835
Kepler-279 c,4.3,49.4,774.0,0.2236,6689.45,1.07
TOI-1444 b,1.41792246,3.58,2130.02,0.0116,5460.0,0.9105
Kepler-329 c,1.93,4.38,402.0,0.113,4257.0,0.523
Kepler-487 d,2.77513568,8.12,1226.0,0.03445,5422.0,0.887
HD 43691 b,13.2,810.4665,761.79,0.238,6093.0,1.6
Kepler-797 b,2.17,5.35,605.0,0.181,5680.0,0.95
K2-401 b,2.262,5.74,,,4213.0,0.675
Kepler-199 c,3.25,10.6,420.0,0.316,5644.0,0.967
HATS-8 b,9.785457,43.86054,1324.0,0.04667,5679.0,1.086
KMT-2019-BLG-1367L b,1.85,4.08,,1.7,,
KOI-1783.01,8.86,71.0,412.0,0.52661,5922.0,1.143
KELT-16 b,15.860735,874.0325,2453.0,0.02044,6236.0,1.36
Kepler-1681 b,2.55321772,7.05,442.0,0.32,5756.4,0.759
Kepler-780 b,0.89,0.64,2099.0,0.015,5769.0,1.02
Kepler-1572 b,0.94,0.779,1293.0,0.05838,5618.0,0.95
Kepler-1389 b,1.77,3.78,300.0,0.38249,5078.0,0.74
TOI-544 c,4.92,21.5,,,4169.0,0.623
Kepler-251 d,2.77,8.1,536.0,0.182,5526.0,0.89
Kepler-127 d,2.64,7.46,590.0,0.28,6106.0,1.359
CoRoT-12 b,16.14,291.438,1442.0,0.04016,5675.0,1.116
SWEEPS-4 b,9.079,1207.7,,0.055,,1.18
Kepler-1256 b,1.49,2.83,933.0,0.10733,6129.0,1.36
G 264-012 b,1.39,2.5,587.0,0.02279,3326.0,0.305
GJ 143 b,2.61,22.7,422.0,0.1915,4640.0,0.695
K2-10 b,3.773,25.2,649.0,0.137,5533.0,0.956
Kepler-182 b,2.58,7.18,935.0,0.096,6250.0,1.146
TOI-1659.01,2.255,5.71,1031.14,0.065757,5977.0,1.006
Kepler-19 d,5.06,22.5,,,5544.0,0.859
TOI-237 c,1.206,1.9,515.0,0.016,3226.0,0.2056
KMT-2016-BLG-2142L b,12.2,4923.0,,0.83,,
Kepler-564 b,4.63,19.4,1129.0,0.0484,5626.0,0.92
Kepler-878 b,1.93,4.38,501.0,0.165,5044.0,0.77
Kepler-228 b,1.53,2.96,1360.0,0.038,6043.0,1.014
HD 6434 b,14.2,155.7367,786.83,0.14,5769.0,1.12
CoRoT-7 b,1.68135,4.07660518,1756.0,0.017016,5275.0,0.83
TOI-2969 b,12.32987877,368.68095212,1186.0,0.0261,4738.0,0.7
Kepler-610 c,3.3,10.9,318.0,0.5594,5943.0,1.13
Kepler-1473 b,1.19,1.81,783.0,0.11606,6046.0,1.09
Kepler-447 b,18.49,435.41,882.0,0.0769,5493.0,1.05
Kepler-290 d,0.86,0.566,1589.0,0.0154,5142.0,0.755
HD 34445 e,4.26,16.8,637.76,0.2687,5836.0,1.38
Kepler-384 c,1.13,1.51,531.0,0.236,5577.0,0.882
HD 120084 b,12.7,2034.1018048,369.24,4.21,4879.0,10.37
Kepler-468 b,13.34,,484.0,0.2213,5498.0,0.87
Kepler-191 b,1.34,2.36,722.0,0.087,5282.0,0.789
GJ 680 b,12.0,7977.4930157,36.57,10.138,3563.0,0.45933
Kepler-917 b,1.91,4.31,991.0,0.0378,5418.0,0.76
TOI-1224 c,2.884,8.67,303.12,,3326.0,0.404
TOI-1422 b,3.83,9.5,870.0,0.107,5840.0,1.019
Kepler-980 b,2.67,7.61,845.0,0.09993,5935.0,1.06
HATS-59 b,12.621334,256.17098,1128.0,0.06112,5670.0,1.036
HD 73267 c,12.8,1630.77755632,69.53,12.688,5387.0,0.909
Kepler-580 b,2.57,7.13,558.0,0.0683,4298.0,0.64
HD 152843 c,5.94,9.67,253.08,0.1482,6310.0,1.43
HD 217786 c,2.61,7.31005336,1663.13,0.038,5966.0,1.27
HR 8799 c,13.0,3000.0,1200.0,38.0,7204.58,1.49338
TOI-4342 b,2.329,7.3,639.0,0.0519,3866.0,0.598
Kepler-193 c,2.75,8.0,595.0,0.286,6335.0,1.147
K2-269 b,1.57,3.09,1429.0,0.0531,6209.0,1.45
KOI-12 b,13.78707,349.613,911.0,0.154,6635.0,1.4
Kepler-1773 b,3.50469499,12.1,623.0,0.24831,6183.0,1.3
NGTS-16 b,14.57167491,211.99154747,1177.0,0.0523,5550.0,1.213
Kepler-637 b,4.75,20.2,1002.0,0.16619,6096.0,2.56
HD 113337 c,12.1,6299.67685515,153.36,6.805,6774.0,1.5
K2-30 b,11.646151,184.02357,1092.0,0.04839,5425.0,0.844
Kepler-1675 b,3.12483349,9.93,465.0,0.32185,5853.19,1.12865
Gaia22dkvL b,14.1,187.83658854,,1.4,,
Kepler-1788 b,2.37850461,6.25,956.0,0.0343,4786.0,0.704
Kepler-497 b,6.04,30.4,1210.0,0.0457,5834.0,1.11
Kepler-179 c,2.0,4.66,810.0,0.064,5302.0,0.759
HD 87646 b,12.4,3941.092,1012.7,0.117,5770.0,1.55
KMT-2024-BLG-0404L c,4.33,17.3,,,,
Kepler-139 e,13.7,378.0,154.06,3.23579639,5622.0,1.045
HD 29985 b,12.8,1739.47487151,46.73,13.39,4678.0,0.574666
Kepler-668 b,2.7,7.75,790.0,0.0768,5352.0,0.82
Kepler-56 d,12.8,1784.0,324.75,2.16,4819.44,4.21799
Kepler-205 b,1.51,2.89,757.0,0.032,4321.0,0.546
Kepler-1156 b,1.32,2.3,787.0,0.09704,5778.0,1.0
HR 858 c,1.979,3.8,1309.0,0.0687,6354.0,1.258
Kepler-989 b,2.21,5.52,805.0,0.0734,5074.0,0.78
HD 165155 b,13.2,918.5287,239.9,1.13,5426.0,0.95
K2-351 b,2.54,6.99,934.0,,5769.0,1.05
HD 22946 d,2.607,26.57,546.0,0.2958,6169.0,1.117
HD 13908 b,13.9,274.91,993.25,0.154,6255.0,1.67
Kepler-1446 b,0.82,0.477,1539.0,0.01405,4865.0,0.75
Kepler-1697 b,1.25954761,2.12,630.0,0.2008,4681.53,0.772344
HD 11112 b,12.6,2598.56505563,94.51,13.38,5905.64,1.47368
Kepler-674 b,1.69,3.5,822.0,0.028,4192.0,0.57
Kepler-1269 b,1.63,3.29,657.0,0.23611,5998.0,1.15
Kepler-1576 b,1.04,1.12,1059.0,0.07211,5876.0,1.06
Kepler-1796 b,2.75047868,8.0,598.0,0.1879,6036.0,0.949
Kepler-972 b,4.65,19.5,1060.0,0.0734,6146.0,1.22
Kepler-1508 b,1.33,2.33,967.0,0.1629,6158.0,1.22
Kepler-293 c,3.83,14.0,466.0,0.286,5804.0,0.957
AF Lep b,13.0,1147.36054927,1400.0,8.996,6140.0,1.25
Kepler-873 b,3.75,13.5,749.0,0.1542,6163.0,1.27
Kepler-669 b,4.83,20.8,1243.0,0.0529,6038.0,1.2
Kepler-783 b,0.78,0.399,991.0,0.04958,5521.0,0.89
Kepler-142 d,2.16,5.31,582.0,0.242,5790.0,1.269
Kepler-1297 b,0.97,0.871,1790.0,0.0283,5818.0,0.99
HD 126525 b,10.3,75.32571,198.47,1.837,5638.0,0.979
Kepler-319 d,2.29,5.86,528.0,0.191,5526.0,0.903
Kepler-1427 b,1.1,1.37,1844.0,0.0197,5793.0,1.01
Kepler-1959 b,1.14315727,1.57,811.0,0.0617,5071.0,0.811
HD 109271 b,4.31,17.162,1128.86,0.079,5783.0,1.294595
HD 100546 b,77.3421,2701.5414595,94.67,53.0,10500.0,1.85288
HD 158996 b,12.3,4449.62,960.27,2.1,4069.0,50.3
Kepler-1264 b,1.18,1.76,1677.0,0.01839,5791.0,0.98
HD 100777 b,13.7,390.92894061,264.28,1.06,5533.0,1.04
Kepler-553 b,4.74139884,116.00736855,1089.0,0.04766,5191.0,0.902
HD 31527 c,3.85,14.16,571.07,0.2663,5898.0,1.073694
K2-44 b,2.433,6.5,1211.0,0.06,5912.0,1.58
Kepler-1955 b,1.16654878,1.69,853.0,0.11959,5825.0,1.291
Kepler-537 b,1.41,2.57,1181.0,0.04317,5763.0,0.99
HD 217786 b,12.3,4402.55909376,207.3,2.446,5966.0,1.27
Kepler-1968 b,1.50004034,2.86,744.0,0.0696,5008.0,0.788
Kepler-322 c,1.67,3.43,996.0,0.051,5388.0,0.89
OGLE-TR-132 b,13.45,375.02,2013.0,0.03035,6210.0,1.32
Kepler-1684 b,2.87084792,8.6,347.0,0.2253,4706.54,0.666755
HATS-66 b,15.815899,1694.0339,1998.0,0.04714,6626.0,1.841
Kepler-171 b,2.34,6.08,1053.0,0.05,5642.0,0.839
Kepler-1021 b,2.33,6.04,634.0,0.1034,5431.0,0.86
Kepler-1399 b,1.25,2.1,1610.0,0.0276,5735.0,0.96
TOI-7041 b,11.43316031,114.41822652,882.37,,4700.0,4.1
OGLE-2014-BLG-0676L b,13.0,1169.60853776,,4.53,,
K2-319 b,2.79,8.2,641.0,0.1516,5440.0,0.898
Kepler-414 c,3.01,29.9,890.0,0.07195,5536.0,0.946
HD 210193 b,14.3,153.1,235.69,1.487,5790.0,1.05971
Kepler-1952 b,1.23923346,2.07,725.0,0.1724,5973.0,1.305
HD 34445 f,6.88,37.9,266.14,1.543,5836.0,1.38
V0391 Peg b,13.1,1017.056,519.69,1.7,29300.0,0.23
Kepler-1633 b,1.58,3.12,925.0,0.3875,6256.0,1.32
