pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbper,st_lum,st_teff,st_spectype,st_rad,discoverymethod,disc_year,pl_trandur,pl_orbeccen,hostname,sy_pnum,curationCategory,_esi_rank_display,_hzd_rank_display
TIC 52059926 b,10.71,5380.0,229.6,0.553,175.532,-0.72125,4505.0,K4.5 V,0.72,Transit,2026,4.87,0.51,TIC 52059926,1,hz_candidate,0.32823000907767486,0.5004969306202626
LP 890-9 c,1.367,25.3,272.0,0.03984,8.457463,-2.84134,2850.0,M6 V,0.1556,Transit,2022,0.9593,,LP 890-9,2,hz_candidate,0.5022089497405468,-0.5427554815057601
TOI-7166 b,2.01,4.7,249.0,0.06191,12.92063621,-2.3869,3099.0,M4.5+/-0.5,0.222,Transit,2025,1.75,0.0,TOI-7166,1,hz_candidate,0.750114692344411,-0.9378434605473515
K2-138 b,1.51,3.1,1157.0,0.03385,2.35309,-0.28654,5356.3,G8 V,0.863,Transit,2017,2.01,0.048,K2-138,6,multi_planet,0.2556072892637423,-5.314642035557005
K2-138 e,3.39,12.97,757.0,0.0782,8.26146,-0.28654,5356.3,G8 V,0.863,Transit,2017,2.97,0.077,K2-138,6,multi_planet,0.3020933010227088,-5.021014732796437
K2-138 g,3.013,4.32,445.0,0.23109,41.96797,-0.28654,5356.3,G8 V,0.863,Transit,2021,4.75,0.059,K2-138,6,multi_planet,0.44957527091673544,-4.008778468555996
K2-138 f,2.904,1.63,653.0,0.10447,12.75758,-0.28654,5356.3,G8 V,0.863,Transit,2017,3.2,0.062,K2-138,6,multi_planet,0.25569445584975004,-4.847089383449871
K2-138 c,2.299,6.31,1012.0,0.04461,3.56004,-0.28654,5356.3,G8 V,0.863,Transit,2017,2.38,0.045,K2-138,6,multi_planet,0.25709586459886125,-5.2434034836358405
K2-138 d,2.39,7.92,888.0,0.05893,5.40479,-0.28654,5356.3,G8 V,0.863,Transit,2017,2.7,0.043,K2-138,6,multi_planet,0.2971050026947068,-5.148595299294659
HD 110067 b,2.2,5.69,800.0,0.0793,9.113678,-0.36224,5266.0,K0.0 V,0.788,Transit,2023,3.0948,,HD 110067,6,multi_planet,0.3337431739561288,-4.9659218418000854
HD 110067 c,2.388,6.3,699.0,0.1039,13.673694,-0.36224,5266.0,K0.0 V,0.788,Transit,2023,3.7044,,HD 110067,6,multi_planet,0.3691933520646034,-4.788221640952337
HD 110067 d,2.852,8.52,602.0,0.1362,20.519617,-0.36224,5266.0,K0.0 V,0.788,Transit,2023,3.8177,,HD 110067,6,multi_planet,0.39814589588274185,-4.554899832522164
HD 110067 e,1.94,3.9,533.0,0.1785,30.793091,-0.36224,5266.0,K0.0 V,0.788,Transit,2023,4.8636,,HD 110067,6,multi_planet,0.5069592649050768,-4.249342170088841
