pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,pl_density,interior_esi,surface_esi,habitability_index
HD 190360 d,3.48,11.9,459.21,0.3886,5560.0,1.14,1.5567454464237973,0.5125478027682411,0.15271894379974646,0.27977805325944805
TOI-4562 c,12.8,1833.86990839,138.11,5.219,6096.0,1.152,4.82110943692529,0.5557686838187529,0.13957734837976388,0.2785187950568739
TOI-2068 b,1.821,3.97,520.62,0.0632,3710.0,0.535,3.6246747618681896,0.8011574079093944,0.09638293945507867,0.27788110036582
Kepler-62 d,1.95,14.0,510.0,0.12,4925.0,0.64,10.409564873345447,0.7352384976831672,0.10409042325278468,0.27664288607441617
HIP 54373 c,3.57,12.44,463.2,0.099,4021.0,0.564998,1.5073847127261593,0.5028223786395236,0.148044489317919,0.27283709839996023
Kepler-1863 b,2.26309256,5.74,508.0,0.23678,5871.0,0.983,2.7303185284177394,0.6979178465184638,0.10562206664922046,0.27150603179423766
Kepler-1232 b,1.93,4.38,523.0,0.16545,5471.0,0.89,3.35900428596132,0.773031018188131,0.09474917374690484,0.27063638013773017
HD 180902 b,13.5,535.54355,412.37,1.4,4961.0,4.16,1.2000569656790225,0.3280418037450992,0.2229849272060023,0.2704595676411294
K2-95 b,3.31,11.0,474.0,0.0525,3566.0,0.4,1.672311122807582,0.5338163321225,0.13621407157159082,0.2696540303237063
HD 10180 f,5.24,23.9,427.54,0.4929,5911.0,1.109,0.9158248310196803,0.3694406486032549,0.19670107766752065,0.2695725759687881
HD 207832 c,14.0,232.0159,179.84,2.112,5710.0,0.901,0.4661675248420601,0.20842143781601644,0.3468441371598134,0.268867539440714
Kepler-1246 b,1.36,2.42,554.0,0.0848,4611.0,0.69,5.304042745087013,0.9441604515723243,0.07618839627980471,0.26820527704747277
Kepler-293 c,3.83,14.0,466.0,0.286,5804.0,0.957,1.3738524364667086,0.47585839013679,0.14486477809373566,0.2625549848911812
HD 75898 c,12.6,2698.36317543,135.2,7.39,6122.0,1.55,7.436989024476632,0.5312412815804519,0.12918568011070897,0.26197092637133484
Kepler-106 e,2.56,11.17,531.0,0.24006,5858.0,1.04,3.6706388062262643,0.752802631400502,0.08949190969589207,0.25955682442988015
